TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20240101,Monday,1631000,2252000
20240102,Tuesday,2622000,3856000
20240103,Wednesday,2856000,4269000
20240104,Thursday,3027000,4354000
20240105,Friday,2825000,4515000
20240106,Saturday,2508000,3906000
20240107,Sunday,1547000,2964000
20240108,Monday,2337000,4533000
20240109,Tuesday,3023000,4983000
20240110,Wednesday,3145000,5034000
20240111,Thursday,3294000,5038000
20240112,Friday,3015000,5112000
20240113,Saturday,2818000,4065000
20240114,Sunday,1828000,3034000
20240115,Monday,2994000,4989000
20240116,Tuesday,3469000,5120000
20240117,Wednesday,3472000,5090000
20240118,Thursday,3596000,5124000
20240119,Friday,3200000,5198000
20240120,Saturday,2988000,4159000
20240121,Sunday,1936000,2987000
20240122,Monday,3047000,5010000
20240123,Tuesday,3520000,5056000
20240124,Wednesday,3593000,5249000
20240125,Thursday,3691000,5250000
20240126,Friday,3440000,5349000
20240127,Saturday,3049000,4278000
20240128,Sunday,2009000,3160000
20240129,Monday,3065000,5027000
20240130,Tuesday,3248000,5399000
20240131,Wednesday,3578000,5275000
20240201,Thursday,3689000,5314000
20240202,Friday,3229000,5372000
20240203,Saturday,2826000,4375000
20240204,Sunday,1964000,3237000
20240205,Monday,3073000,5101000
20240206,Tuesday,3577000,5303000
20240207,Wednesday,3618000,5263000
20240208,Thursday,3714000,5202000
20240209,Friday,3343000,5325000
20240210,Saturday,3054000,4413000
20240211,Sunday,2235000,3324000
20240212,Monday,3227000,4699000
20240213,Tuesday,3613000,4760000
20240214,Wednesday,3641000,4891000
20240215,Thursday,3749000,4839000
20240216,Friday,3426000,4847000
20240217,Saturday,3216000,4350000
20240218,Sunday,2020000,3207000
20240219,Monday,3078000,5005000
20240220,Tuesday,3601000,5276000
20240221,Wednesday,3668000,5135000
20240222,Thursday,3818000,5187000
20240223,Friday,3490000,5405000
20240224,Saturday,3155000,4511000
20240225,Sunday,2099000,3226000
20240226,Monday,3153000,5104000
20240227,Tuesday,3596000,5342000
20240228,Wednesday,3655000,5333000
20240229,Thursday,3806000,5336000
20240301,Friday,3384000,5427000
20240302,Saturday,3101000,4349000
20240303,Sunday,2122000,3334000
20240304,Monday,3131000,5203000
20240305,Tuesday,3581000,5336000
20240306,Wednesday,3676000,5394000
20240307,Thursday,3801000,5409000
20240308,Friday,3509000,5560000
20240309,Saturday,3152000,4521000
20240310,Sunday,1959000,3128000
20240311,Monday,3137000,5037000
20240312,Tuesday,3609000,5186000
20240313,Wednesday,3622000,5320000
20240314,Thursday,3742000,5396000
20240315,Friday,3447000,5468000
20240316,Saturday,3016000,4515000
20240317,Sunday,2056000,3258000
20240318,Monday,3145000,5146000
20240319,Tuesday,3595000,5305000
20240320,Wednesday,3623000,5374000
20240321,Thursday,3761000,5371000
20240322,Friday,3417000,5417000
20240323,Saturday,3185000,4483000
20240324,Sunday,2086000,3342000
20240325,Monday,3152000,5103000
20240326,Tuesday,3660000,5336000
20240327,Wednesday,3582000,5338000
20240328,Thursday,3514000,5364000
20240329,Friday,2537000,4017000
20240330,Saturday,2816000,4292000
20240331,Sunday,1785000,2891000
20240401,Monday,1975000,3274000
20240402,Tuesday,3108000,4648000
20240403,Wednesday,3310000,4639000
20240404,Thursday,3439000,4705000
20240405,Friday,3170000,4810000
20240406,Saturday,2729000,4350000
20240407,Sunday,2090000,3332000
20240408,Monday,2645000,4707000
20240409,Tuesday,3401000,4686000
20240410,Wednesday,3436000,4760000
20240411,Thursday,3592000,4767000
20240412,Friday,3344000,4925000
20240413,Saturday,2934000,4420000
20240414,Sunday,1986000,3305000
20240415,Monday,2911000,4992000
20240416,Tuesday,3470000,5313000
20240417,Wednesday,3603000,5369000
20240418,Thursday,3777000,5426000
20240419,Friday,3377000,5412000
20240420,Saturday,3303000,4469000
20240421,Sunday,2564000,3161000
20240422,Monday,3121000,5156000
20240423,Tuesday,3647000,5333000
20240424,Wednesday,3654000,5379000
20240425,Thursday,3850000,5405000
20240426,Friday,3422000,5606000
20240427,Saturday,3104000,4391000
20240428,Sunday,2056000,3202000
20240429,Monday,3158000,5226000
20240430,Tuesday,3627000,5425000
20240501,Wednesday,3654000,5364000
20240502,Thursday,3756000,5392000
20240503,Friday,3327000,5387000
20240504,Saturday,2908000,4564000
20240505,Sunday,2152000,3557000
20240506,Monday,1756000,3127000
20240507,Tuesday,3135000,5643000
20240508,Wednesday,3466000,5512000
20240509,Thursday,3780000,5541000
20240510,Friday,3491000,5629000
20240511,Saturday,3131000,4625000
20240512,Sunday,2118000,3430000
20240513,Monday,3116000,5210000
20240514,Tuesday,3643000,5341000
20240515,Wednesday,3719000,5434000
20240516,Thursday,3751000,5376000
20240517,Friday,3357000,5496000
20240518,Saturday,3076000,4434000
20240519,Sunday,2280000,3448000
20240520,Monday,3199000,5241000
20240521,Tuesday,3672000,5274000
20240522,Wednesday,3672000,5296000
20240523,Thursday,3799000,5438000
20240524,Friday,3409000,5462000
20240525,Saturday,2961000,4515000
20240526,Sunday,2393000,3399000
20240527,Monday,2032000,3462000
20240528,Tuesday,3321000,4639000
20240529,Wednesday,3525000,4854000
20240530,Thursday,3661000,4749000
20240531,Friday,3330000,4766000
20240601,Saturday,3028000,4341000
20240602,Sunday,2120000,3410000
20240603,Monday,2998000,5097000
20240604,Tuesday,3477000,5291000
20240605,Wednesday,3585000,5335000
20240606,Thursday,3753000,5431000
20240607,Friday,3398000,5497000
20240608,Saturday,3110000,4469000
20240609,Sunday,2177000,3370000
20240610,Monday,3151000,5105000
20240611,Tuesday,3631000,5378000
20240612,Wednesday,3624000,5276000
20240613,Thursday,3716000,5337000
20240614,Friday,3366000,5504000
20240615,Saturday,2807000,4366000
20240616,Sunday,2190000,3626000
20240617,Monday,3159000,5065000
20240618,Tuesday,3593000,5307000
20240619,Wednesday,3731000,5365000
20240620,Thursday,3868000,5453000
20240621,Friday,3569000,5436000
20240622,Saturday,3315000,4485000
20240623,Sunday,2351000,3520000
20240624,Monday,3187000,5129000
20240625,Tuesday,3628000,5314000
20240626,Wednesday,3617000,5190000
20240627,Thursday,3740000,5277000
20240628,Friday,3401000,5397000
20240629,Saturday,3373000,4468000
20240630,Sunday,2194000,3404000
20240701,Monday,3163000,5067000
20240702,Tuesday,3624000,5251000
20240703,Wednesday,3856000,5321000
20240704,Thursday,3873000,5394000
20240705,Friday,3442000,5177000
20240706,Saturday,3053000,4320000
20240707,Sunday,2343000,3357000
20240708,Monday,3264000,5049000
20240709,Tuesday,3647000,5116000
20240710,Wednesday,3790000,5316000
20240711,Thursday,3887000,5337000
20240712,Friday,3533000,5305000
20240713,Saturday,3149000,4575000
20240714,Sunday,2413000,3723000
20240715,Monday,3038000,4861000
20240716,Tuesday,3513000,5165000
20240717,Wednesday,3670000,5189000
20240718,Thursday,3688000,5202000
20240719,Friday,3225000,5184000
20240720,Saturday,2773000,4405000
20240721,Sunday,1994000,3442000
20240722,Monday,3062000,4748000
20240723,Tuesday,3516000,4913000
20240724,Wednesday,3558000,4897000
20240725,Thursday,3715000,4724000
20240726,Friday,3289000,4861000
20240727,Saturday,3058000,4261000
20240728,Sunday,2103000,3389000
20240729,Monday,2994000,4509000
20240730,Tuesday,3396000,4598000
20240731,Wednesday,3378000,4667000
20240801,Thursday,3402000,4605000
20240802,Friday,3083000,4711000
20240803,Saturday,2717000,4159000
20240804,Sunday,1999000,3307000
20240805,Monday,2864000,4423000
20240806,Tuesday,3208000,4531000
20240807,Wednesday,3235000,4338000
20240808,Thursday,3290000,4421000
20240809,Friday,3039000,4654000
20240810,Saturday,2939000,4125000
20240811,Sunday,2207000,3263000
20240812,Monday,2667000,4014000
20240813,Tuesday,3201000,4490000
20240814,Wednesday,3339000,4528000
20240815,Thursday,3548000,4672000
20240816,Friday,3284000,4667000
20240817,Saturday,3084000,4167000
20240818,Sunday,2238000,3292000
20240819,Monday,3035000,4407000
20240820,Tuesday,3373000,4575000
20240821,Wednesday,3343000,4560000
20240822,Thursday,3335000,4640000
20240823,Friday,3027000,4726000
20240824,Saturday,2542000,3726000
20240825,Sunday,2249000,3404000
20240826,Monday,2111000,3353000
20240827,Tuesday,3039000,4597000
20240828,Wednesday,3250000,4580000
20240829,Thursday,3337000,4661000
20240830,Friday,3075000,4742000
20240831,Saturday,2748000,4211000
20240901,Sunday,1934000,3334000
20240902,Monday,2853000,4588000
20240903,Tuesday,3294000,4928000
20240904,Wednesday,3360000,5158000
20240905,Thursday,3492000,5062000
20240906,Friday,3137000,5294000
20240907,Saturday,2875000,4322000
20240908,Sunday,1968000,3332000
20240909,Monday,3039000,5152000
20240910,Tuesday,3565000,5303000
20240911,Wednesday,3604000,5341000
20240912,Thursday,3723000,5364000
20240913,Friday,3303000,5450000
20240914,Saturday,2893000,4604000
20240915,Sunday,2005000,3478000
20240916,Monday,3156000,5222000
20240917,Tuesday,3584000,5433000
20240918,Wednesday,3654000,5403000
20240919,Thursday,3801000,5467000
20240920,Friday,3404000,5473000
20240921,Saturday,3141000,4494000
20240922,Sunday,2081000,3191000
20240923,Monday,3178000,5210000
20240924,Tuesday,3722000,5381000
20240925,Wednesday,3781000,5412000
20240926,Thursday,3952000,5456000
20240927,Friday,3543000,5384000
20240928,Saturday,3282000,4543000
20240929,Sunday,2124000,3306000
20240930,Monday,3245000,5172000
20241001,Tuesday,3806000,5220000
20241002,Wednesday,3734000,5221000
20241003,Thursday,3927000,5335000
20241004,Friday,3566000,5384000
20241005,Saturday,3341000,4409000
20241006,Sunday,2189000,3206000
20241007,Monday,3302000,5110000
20241008,Tuesday,3817000,5241000
20241009,Wednesday,3843000,5266000
20241010,Thursday,4094000,5325000
20241011,Friday,3638000,5351000
20241012,Saturday,3084000,4427000
20241013,Sunday,2199000,3292000
20241014,Monday,3353000,4915000
20241015,Tuesday,3816000,5225000
20241016,Wednesday,3773000,5219000
20241017,Thursday,3928000,5231000
20241018,Friday,3521000,5318000
20241019,Saturday,3133000,4304000
20241020,Sunday,2172000,3089000
20241021,Monday,3291000,4809000
20241022,Tuesday,3781000,5037000
20241023,Wednesday,3754000,4994000
20241024,Thursday,3910000,5080000
20241025,Friday,3572000,4968000
20241026,Saturday,3177000,4297000
20241027,Sunday,2468000,3445000
20241028,Monday,3388000,4533000
20241029,Tuesday,3813000,4743000
20241030,Wednesday,3896000,4747000
20241031,Thursday,3910000,4846000
20241101,Friday,3615000,4771000
20241102,Saturday,3095000,4288000
20241103,Sunday,2009000,3145000
20241104,Monday,3195000,4828000
20241105,Tuesday,3555000,5047000
20241106,Wednesday,3649000,5048000
20241107,Thursday,3598000,5048000
20241108,Friday,3531000,5177000
20241109,Saturday,3282000,4202000
20241110,Sunday,2266000,3108000
20241111,Monday,3337000,4944000
20241112,Tuesday,3750000,5117000
20241113,Wednesday,3876000,5128000
20241114,Thursday,4034000,5118000
20241115,Friday,3712000,5175000
20241116,Saturday,3447000,4291000
20241117,Sunday,2380000,3225000
20241118,Monday,3333000,4919000
20241119,Tuesday,3826000,4931000
20241120,Wednesday,3899000,5092000
20241121,Thursday,4070000,5055000
20241122,Friday,3792000,5154000
20241123,Saturday,3209000,4010000
20241124,Sunday,2216000,3161000
20241125,Monday,3398000,4934000
20241126,Tuesday,4014000,5151000
20241127,Wednesday,4008000,5072000
20241128,Thursday,4275000,5181000
20241129,Friday,4089000,5300000
20241130,Saturday,3732000,4410000
20241201,Sunday,2432000,3224000
20241202,Monday,3547000,4983000
20241203,Tuesday,4029000,5150000
20241204,Wednesday,4177000,5153000
20241205,Thursday,4350000,5233000
20241206,Friday,4123000,5388000
20241207,Saturday,3318000,3946000
20241208,Sunday,2498000,3065000
20241209,Monday,3615000,4983000
20241210,Tuesday,4060000,5118000
20241211,Wednesday,4174000,5130000
20241212,Thursday,4272000,5211000
20241213,Friday,3944000,5246000
20241214,Saturday,3702000,4451000
20241215,Sunday,2547000,3285000
20241216,Monday,3355000,4912000
20241217,Tuesday,3710000,5056000
20241218,Wednesday,3753000,5088000
20241219,Thursday,3762000,5127000
20241220,Friday,3417000,5102000
20241221,Saturday,3074000,4118000
20241222,Sunday,2269000,3145000
20241223,Monday,2834000,4457000
20241224,Tuesday,1870000,3774000
20241225,Wednesday,0,1000
20241226,Thursday,1503000,2598000
20241227,Friday,2561000,3638000
20241228,Saturday,2623000,3502000
20241229,Sunday,2310000,2937000
20241230,Monday,2774000,3989000
20241231,Tuesday,2990000,3984000
20250101,Wednesday,1523000,1959000
20250102,Thursday,2711000,3913000
20250103,Friday,2742000,4051000
20250104,Saturday,2365000,3543000
20250105,Sunday,1502000,2557000
20250106,Monday,2721000,4363000
20250107,Tuesday,3182000,4741000
20250108,Wednesday,3177000,4712000
20250109,Thursday,3337000,4811000
20250110,Friday,2943000,4785000
20250111,Saturday,2629000,3799000
20250112,Sunday,1784000,2759000
20250113,Monday,3015000,4740000
20250114,Tuesday,3533000,4905000
20250115,Wednesday,3566000,4897000
20250116,Thursday,3634000,4943000
20250117,Friday,3224000,4984000
20250118,Saturday,2931000,4006000
20250119,Sunday,1856000,2924000
20250120,Monday,3161000,4806000
20250121,Tuesday,3587000,4963000
20250122,Wednesday,3670000,4946000
20250123,Thursday,3743000,4927000
20250124,Friday,3285000,5027000
20250125,Saturday,3067000,4339000
20250126,Sunday,1928000,2935000
