DATE,max temp,min temp,mean temp,sunshine duration,snow depth,precipitation amount,global radiation,sea level pressure,relative humidity,cloud cover
20230101,13.4,5.2,7.2,0.0,0.0,4.6000000000000005,44.0,1008.0,81.0,7.0
20230102,13.4,5.2,7.2,5.2,0.0,0.4,44.0,1016.9000000000001,86.0,3.0
20230103,13.9,2.1,7.800000000000001,0.0,0.0,3.0,9.0,1018.6,93.0,7.0
20230104,13.5,9.200000000000001,11.600000000000001,0.4,0.0,0.2,17.0,1014.6,82.0,6.0
20230105,12.700000000000001,8.9,11.200000000000001,0.4,0.0,2.4000000000000004,28.0,1018.6,82.0,8.0
20230106,11.4,6.300000000000001,9.5,2.2,0.0,0.6000000000000001,34.0,1013.8000000000001,87.0,4.0
20230107,9.5,6.7,9.1,0.0,0.0,3.2,8.0,1000.6,84.0,7.0
20230108,9.600000000000001,6.5,8.0,0.2,0.0,7.2,14.0,992.8000000000001,87.0,6.0
20230109,13.0,4.4,7.0,2.4000000000000004,0.0,2.0,38.0,1001.4000000000001,80.0,4.0
20230110,12.200000000000001,3.9000000000000004,8.4,0.0,0.0,3.6,10.0,1008.3000000000001,89.0,7.0
20230111,12.700000000000001,6.800000000000001,9.5,3.1,0.0,4.0,27.0,1008.5,81.0,5.0
20230112,11.5,7.2,9.9,0.1,0.0,3.8000000000000003,14.0,1003.1,83.0,7.0
20230113,12.600000000000001,7.2,9.3,4.9,0.0,8.4,44.0,1008.8000000000001,72.0,2.0
20230114,5.300000000000001,3.8000000000000003,6.0,0.1,0.0,1.6,33.0,1000.6,84.0,8.0
20230115,0.8,2.7,4.0,2.5,0.0,10.8,28.0,998.4000000000001,77.0,4.0
20230116,5.2,-5.0,-2.1,1.1,0.0,0.0,35.0,986.4000000000001,83.0,6.0
20230117,5.2,-5.0,-2.1,0.7000000000000001,0.0,0.0,35.0,989.9000000000001,86.0,4.0
20230118,5.6000000000000005,-3.8000000000000003,0.7000000000000001,6.0,0.0,0.0,60.0,998.3000000000001,84.0,2.0
20230119,6.300000000000001,-2.7,1.4000000000000001,6.0,0.0,0.0,62.0,1008.2,83.0,3.0
20230120,6.2,-1.3,2.5,5.300000000000001,0.0,0.2,52.0,1019.2,79.0,2.0
20230121,3.7,-1.4000000000000001,2.4000000000000004,6.4,0.0,0.0,58.0,1032.5,84.0,1.0
20230122,5.2,-4.7,-0.5,3.6,0.0,0.0,50.0,1035.9,94.0,1.0
20230123,5.0,-8.4,-1.6,6.300000000000001,0.0,0.2,64.0,1037.9,85.0,4.0
20230124,6.1000000000000005,-5.1000000000000005,-0.1,2.9000000000000004,0.0,0.0,45.0,1039.1000000000001,81.0,5.0
20230125,8.0,-3.3000000000000003,1.4000000000000001,0.0,0.0,2.8000000000000003,18.0,1033.3,97.0,7.0
20230126,7.300000000000001,-0.6000000000000001,3.7,0.8,0.0,0.0,34.0,1030.5,83.0,6.0
20230127,6.2,3.9000000000000004,5.6000000000000005,0.2,0.0,0.0,37.0,1030.9,79.0,6.0
20230128,8.9,1.7000000000000002,4.0,0.0,0.0,0.0,30.0,1032.1000000000001,76.0,8.0
20230129,9.9,3.5,6.2,0.0,0.0,0.0,25.0,1026.7,88.0,6.0
20230130,12.5,5.0,7.5,5.6000000000000005,0.0,0.0,65.0,1025.1000000000001,74.0,3.0
20230131,10.4,3.3000000000000003,7.9,1.8,0.0,0.0,40.0,1025.1000000000001,75.0,6.0
20230201,11.4,4.3,7.300000000000001,2.5,0.0,0.0,50.0,1025.1000000000001,75.0,5.0
20230202,13.600000000000001,6.0,8.700000000000001,0.4,0.0,0.0,37.0,1027.3,80.0,7.0
20230203,8.9,8.1,8.8,4.0,0.0,0.0,23.0,1031.5,81.0,6.0
20230204,8.9,8.1,8.8,0.1,0.0,0.0,23.0,1038.2,82.0,8.0
20230205,11.600000000000001,3.3000000000000003,6.1000000000000005,6.1000000000000005,0.0,0.0,71.0,1044.7,74.0,2.0
20230206,8.8,0.8,6.2,8.1,0.0,0.0,87.0,1042.1000000000001,74.0,3.0
20230207,8.3,-1.7000000000000002,3.5,5.1000000000000005,0.0,0.0,77.0,1039.0,83.0,2.0
20230208,10.9,-3.9000000000000004,2.2,8.0,0.0,0.0,95.0,1034.8,83.0,1.0
20230209,9.1,-2.0,4.5,4.5,0.0,0.0,72.0,1032.9,80.0,4.0
20230210,10.3,-1.9000000000000001,3.6,4.6000000000000005,0.0,0.0,77.0,1036.7,82.0,4.0
20230211,8.700000000000001,1.2000000000000002,5.800000000000001,0.0,0.0,0.0,25.0,1036.8,79.0,8.0
20230212,12.600000000000001,7.1000000000000005,7.9,0.0,0.0,0.0,20.0,1037.4,79.0,8.0
20230213,12.200000000000001,3.1,7.800000000000001,8.3,0.0,0.0,99.0,1034.1000000000001,77.0,3.0
20230214,15.600000000000001,-0.2,6.0,4.9,0.0,0.2,81.0,1030.8,86.0,3.0
20230215,13.4,1.2000000000000002,8.4,7.4,0.0,0.4,94.0,1023.5,79.0,5.0
20230216,15.200000000000001,6.0,9.700000000000001,0.0,0.0,0.0,38.0,1020.2,88.0,7.0
20230217,12.8,9.3,12.200000000000001,0.5,0.0,0.0,49.0,1021.6,84.0,8.0
20230218,13.8,10.3,11.600000000000001,0.0,0.0,0.2,23.0,1021.5,81.0,8.0
20230219,13.8,6.4,10.100000000000001,5.9,0.0,0.0,94.0,1026.4,74.0,3.0
20230220,9.8,5.9,9.8,1.8,0.0,0.0,62.0,1024.2,83.0,7.0
20230221,9.700000000000001,7.5,8.700000000000001,0.0,0.0,3.0,28.0,1018.0,88.0,8.0
20230222,8.9,5.7,7.7,0.0,0.0,0.4,31.0,1012.0,88.0,8.0
20230223,10.700000000000001,5.800000000000001,7.300000000000001,0.30000000000000004,0.0,0.0,46.0,1018.3000000000001,80.0,7.0
20230224,8.200000000000001,-1.3,4.7,1.6,0.0,0.0,59.0,1014.2,78.0,6.0
20230225,8.200000000000001,3.3000000000000003,5.800000000000001,1.4000000000000001,0.0,0.0,66.0,1017.6,73.0,5.0
20230226,8.700000000000001,1.2000000000000002,4.7,3.6,0.0,0.0,87.0,1027.2,66.0,3.0
20230227,8.0,0.1,4.4,1.9000000000000001,0.0,0.0,70.0,1031.8,71.0,4.0
20230228,8.6,1.2000000000000002,4.6000000000000005,0.30000000000000004,0.0,0.0,36.0,1032.7,80.0,5.0
20230301,9.600000000000001,4.0,6.300000000000001,1.4000000000000001,0.0,0.0,56.0,1029.2,77.0,8.0
20230302,6.9,1.5,5.5,8.0,0.0,0.0,130.0,1026.1000000000001,70.0,3.0
20230303,7.2,3.5,5.2,0.0,0.0,0.0,41.0,1029.1000000000001,69.0,8.0
20230304,10.100000000000001,3.2,4.3,0.0,0.0,0.0,41.0,1029.5,67.0,8.0
20230305,10.100000000000001,3.2,4.3,0.0,0.0,0.0,41.0,1019.3000000000001,67.0,8.0
20230306,5.7,0.30000000000000004,5.2,0.1,0.0,5.6000000000000005,63.0,1006.1,81.0,8.0
20230307,3.8000000000000003,1.9000000000000001,3.8000000000000003,0.2,0.0,5.2,56.0,1000.3000000000001,86.0,7.0
20230308,11.600000000000001,0.5,2.1,0.0,0.0,10.200000000000001,27.0,991.6,93.0,8.0
20230309,10.100000000000001,2.7,4.2,0.0,0.0,5.800000000000001,70.0,991.0,95.0,8.0
20230310,10.100000000000001,2.7,4.2,0.7000000000000001,0.0,0.0,70.0,997.1,81.0,7.0
20230311,14.200000000000001,-2.2,4.0,4.0,0.0,1.2000000000000002,119.0,1009.5,77.0,7.0
20230312,14.5,3.2,8.700000000000001,1.3,0.0,1.0,74.0,1005.7,87.0,6.0
20230313,10.200000000000001,4.1000000000000005,7.2,1.5,0.0,2.0,135.0,990.5,78.0,8.0
20230314,10.200000000000001,4.1000000000000005,7.2,5.2,0.0,0.2,135.0,1003.2,69.0,5.0
20230315,14.0,0.0,5.1000000000000005,2.6,0.0,3.4000000000000004,96.0,1015.7,85.0,4.0
20230316,15.200000000000001,4.1000000000000005,9.1,1.5,0.0,0.4,93.0,1006.2,82.0,7.0
20230317,15.4,10.0,12.600000000000001,2.5,0.0,2.2,73.0,1003.9000000000001,86.0,7.0
20230318,13.3,5.9,8.5,2.5,0.0,1.8,93.0,1006.2,87.0,7.0
20230319,13.3,5.9,8.5,1.9000000000000001,0.0,0.2,93.0,1015.9000000000001,74.0,7.0
20230320,14.8,7.6000000000000005,10.4,0.0,0.0,2.6,43.0,1016.6,87.0,8.0
20230321,15.8,8.8,11.8,1.8,0.0,1.2000000000000002,85.0,1008.9000000000001,82.0,8.0
20230322,15.5,10.200000000000001,13.0,1.5,0.0,1.0,101.0,1000.9000000000001,80.0,7.0
20230323,14.600000000000001,8.8,12.200000000000001,2.9000000000000004,0.0,3.2,113.0,997.0,79.0,7.0
20230324,14.9,7.5,11.100000000000001,3.8000000000000003,0.0,11.0,121.0,998.1,83.0,5.0
20230325,11.9,6.300000000000001,7.800000000000001,5.9,0.0,6.800000000000001,57.0,1003.6,71.0,6.0
20230326,11.9,6.300000000000001,7.800000000000001,0.0,0.0,0.4,57.0,1007.8000000000001,81.0,8.0
20230327,11.0,4.1000000000000005,8.0,7.1000000000000005,0.0,0.2,181.0,1025.2,58.0,6.0
20230328,14.0,4.3,7.7,0.0,0.0,2.0,46.0,1018.8000000000001,80.0,8.0
20230329,16.5,7.0,10.5,0.0,0.0,6.4,38.0,1008.7,91.0,8.0
20230330,15.3,10.3,13.4,3.5,0.0,7.2,144.0,1003.0,79.0,7.0
20230331,11.600000000000001,8.8,10.3,0.30000000000000004,0.0,11.200000000000001,87.0,989.1,91.0,8.0
20230401,11.600000000000001,8.8,10.3,0.6000000000000001,0.0,0.0,87.0,1006.9000000000001,82.0,8.0
20230402,12.3,6.5,9.1,4.4,0.0,0.0,108.0,1025.9,70.0,5.0
20230403,14.9,1.2000000000000002,6.800000000000001,8.1,0.0,0.0,202.0,1030.1000000000001,68.0,2.0
