year,month,mes_nombre,line_name,service_operated_allweek_pct,service_operated_weekday_pct,service_operated_weekend_pct,kilometres_operated
2023,1,Enero,Bakerloo,86.9,86.4,88.5,40374.0
2023,2,Febrero,Bakerloo,89.9,91.0,86.9,65276.0
2023,3,Marzo,Bakerloo,94.1,95.1,91.0,57196.0
2023,3,Marzo,Bakerloo,94.1,95.1,91.0,60434.0
2023,3,Marzo,Bakerloo,87.1,90.2,78.3,57196.0
2023,3,Marzo,Bakerloo,87.1,90.2,78.3,60434.0
2023,4,Abril,Bakerloo,89.3,90.4,86.1,60165.0
2023,5,Mayo,Bakerloo,91.9,92.9,89.2,64960.0
2023,6,Junio,Bakerloo,88.9,89.6,87.0,65521.0
2023,7,Julio,Bakerloo,91.8,92.1,90.8,67506.0
2023,8,Agosto,Bakerloo,89.8,90.9,86.6,44893.0
2023,9,Septiembre,Bakerloo,91.7,93.5,87.1,67551.0
2023,10,Octubre,Bakerloo,93.3,93.8,92.0,64976.0
2023,11,Noviembre,Bakerloo,91.6,92.6,89.0,64981.0
2023,12,Diciembre,Bakerloo,92.5,94.6,86.7,65234.0
2023,1,Enero,C&H,,,,51443.0
2023,2,Febrero,C&H,,,,71882.0
2023,3,Marzo,C&H,,,,74855.0
2023,3,Marzo,C&H,,,,70454.0
2023,4,Abril,C&H,,,,74765.0
2023,5,Mayo,C&H,,,,68279.0
2023,6,Junio,C&H,,,,69052.0
2023,7,Julio,C&H,,,,68925.0
2023,8,Agosto,C&H,,,,70302.0
2023,9,Septiembre,C&H,,,,67697.0
2023,10,Octubre,C&H,,,,69197.0
2023,11,Noviembre,C&H,,,,71352.0
2023,12,Diciembre,C&H,,,,69013.0
2023,1,Enero,Central,73.9,75.7,68.0,201878.0
2023,2,Febrero,Central,89.7,89.5,90.2,239812.0
2023,3,Marzo,Central,89.4,89.9,87.9,244484.0
2023,3,Marzo,Central,89.4,89.9,87.9,234913.0
2023,3,Marzo,Central,90.9,91.0,90.7,244484.0
2023,3,Marzo,Central,90.9,91.0,90.7,234913.0
2023,4,Abril,Central,88.6,91.0,82.3,244808.0
2023,5,Mayo,Central,92.5,92.2,93.3,241326.0
2023,6,Junio,Central,91.1,91.5,90.1,236503.0
2023,7,Julio,Central,93.2,94.1,90.7,239909.0
2023,8,Agosto,Central,89.6,90.8,86.5,229000.0
2023,9,Septiembre,Central,85.4,88.3,78.0,221887.0
2023,10,Octubre,Central,86.2,89.2,78.5,227484.0
2023,11,Noviembre,Central,91.0,91.2,90.3,230342.0
2023,12,Diciembre,Central,82.6,84.1,78.4,211048.0
2023,1,Enero,Circle Hammersmith & City,82.8,86.7,72.8,
2023,2,Febrero,Circle Hammersmith & City,91.4,93.3,85.9,
2023,3,Marzo,Circle Hammersmith & City,92.5,93.2,90.7,
2023,3,Marzo,Circle Hammersmith & City,94.6,94.3,95.4,
2023,4,Abril,Circle Hammersmith & City,92.3,94.2,87.8,
2023,5,Mayo,Circle Hammersmith & City,88.9,89.3,87.7,
2023,6,Junio,Circle Hammersmith & City,93.9,95.4,89.8,
2023,7,Julio,Circle Hammersmith & City,92.2,93.7,87.9,
2023,8,Agosto,Circle Hammersmith & City,92.5,93.7,89.1,
2023,9,Septiembre,Circle Hammersmith & City,92.6,93.5,89.1,
2023,10,Octubre,Circle Hammersmith & City,92.4,93.9,88.1,
2023,11,Noviembre,Circle Hammersmith & City,94.9,95.6,92.9,
2023,12,Diciembre,Circle Hammersmith & City,91.6,92.7,88.8,
2023,1,Enero,District,90.2,93.0,80.8,165295.0
2023,2,Febrero,District,92.1,92.2,91.6,200382.0
2023,3,Marzo,District,96.5,96.8,95.6,208831.0
2023,3,Marzo,District,96.5,96.8,95.6,189514.0
2023,3,Marzo,District,94.6,95.8,90.8,208831.0
2023,3,Marzo,District,94.6,95.8,90.8,189514.0
2023,4,Abril,District,95.2,95.1,95.6,188292.0
2023,5,Mayo,District,93.2,92.0,96.8,183562.0
2023,6,Junio,District,94.4,94.9,92.8,191899.0
2023,7,Julio,District,92.4,93.4,89.7,190751.0
2023,8,Agosto,District,94.3,96.3,87.9,196651.0
2023,9,Septiembre,District,94.6,93.9,96.8,191342.0
2023,10,Octubre,District,90.9,91.6,88.5,180170.0
2023,11,Noviembre,District,94.8,94.3,96.3,188601.0
2023,12,Diciembre,District,93.9,93.9,93.7,191940.0
