StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id,Type
910GABWD,nationalRail,national-rail,,,,,,,,,,,,,
910GABWD,elizabeth-line,elizabeth,,,,,,,,,,,,,
910GACTNCTL,overground,mildmay,910GACTNCTL,Acton Central,3,,True,,False,0.0,,,,,
910GACTONML,elizabeth-line,elizabeth,910GACTONML,Acton Main Line,3,,False,,False,0.0,910GACTONML,TRUE,False,1.0,Unisex
910GANERLEY,overground,windrush,910GANERLEY,Anerley,4,,True,,False,0.0,,,,,
910GANERLEY,nationalRail,national-rail,910GANERLEY,Anerley,4,,True,,False,0.0,,,,,
910GBCKNHMH,nationalRail,national-rail,910GBCKNHMH,Beckenham Hill,4,,False,,False,0.0,,,,,
910GBELNGHM,nationalRail,national-rail,910GBELNGHM,Bellingham,3,,False,,False,0.0,,,,,
910GBHILLPK,overground,weaver,910GBHILLPK,Bush Hill Park,5,,True,,True,2.0,910GBHILLPK,FALSE,False,1.0,Male
910GBHILLPK,overground,weaver,910GBHILLPK,Bush Hill Park,5,,True,,True,2.0,910GBHILLPK,FALSE,False,2.0,Female
910GBHILLPK,overground,weaver,910GBHILLPK,Bush Hill Park,5,,True,,True,2.0,910GBHILLPK,TRUE,False,3.0,Unisex
910GBICKLEY,nationalRail,national-rail,910GBICKLEY,Bickley,5,,False,,False,0.0,,,,,
910GBNHAM,elizabeth-line,elizabeth,910GBNHAM,Burnham,Outside,,False,,False,0.0,910GBNHAM,FALSE,False,1.0,Male
910GBNHAM,elizabeth-line,elizabeth,910GBNHAM,Burnham,Outside,,False,,False,0.0,910GBNHAM,FALSE,False,2.0,Female
910GBNHAM,elizabeth-line,elizabeth,910GBNHAM,Burnham,Outside,,False,,False,0.0,910GBNHAM,TRUE,False,3.0,Unisex
