PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
HUBABW-Plat01-WB-national-rail,910GABWD,national-rail,,,,,,,,False,,True,,
HUBABW-Plat02-EB-national-rail,910GABWD,national-rail,,,,,,,,False,,True,,
HUBABW-Plat03-WB-elizabeth,910GABWD,elizabeth,,,,,,,,False,,True,,
HUBABW-Plat04-WB-elizabeth,910GABWD,elizabeth,,,,,,,,False,,True,,
910GACTNCTL-Plat01-WB-london-overground,910GACTNCTL,mildmay,Richmond,,,,,,,False,,True,Step-free platform interchange requires a 50m journey via street. Use East Churchfield Road entrance for westbound and Churchfield Road for eastbound,
910GACTNCTL-Plat02-EB-london-overground,910GACTNCTL,mildmay,Stratford,,,,,,,False,,True,,
910GACTONML-Plat03-WB-elizabeth,910GACTONML,elizabeth,,,,,,,,False,,True,,
910GACTONML-Plat04-EB-elizabeth,910GACTONML,elizabeth,,,,,,,,False,,True,,
910GANERLEY-Plat01-NB-london-overground|national-rail,910GANERLEY,windrush,Dalston Junction,,,,,,,False,,True,,
910GANERLEY-Plat01-NB-london-overground|national-rail,910GANERLEY,national-rail,,,,,,,,False,,False,,
910GANERLEY-Plat02-SB-london-overground|national-rail,910GANERLEY,windrush,West Croydon,,,,,,,False,,True,,
910GANERLEY-Plat02-SB-london-overground|national-rail,910GANERLEY,national-rail,,,,,,,,False,,False,,
910GBCKNHMH-Plat01-NB-national-rail,910GBCKNHMH,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBCKNHMH-Plat02-SB-national-rail,910GBCKNHMH,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBELNGHM-Plat01-NB-national-rail,910GBELNGHM,national-rail,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBELNGHM-Plat02-SB-national-rail,910GBELNGHM,national-rail,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBHILLPK-Plat01-SB-london-overground,910GBHILLPK,weaver,,,,,,,,False,,True,Use the St Mark's Road entrance for southbound platform. Step-free platform interchange requires a 290m journey via street,
910GBHILLPK-Plat02-NB-london-overground,910GBHILLPK,weaver,,,,,,,,False,,True,Use the Queen Anne's Place entrance for northbound platform. Step-free platform interchange requires a 290m journey via street,
910GBICKLEY-Plat01-NB-national-rail,910GBICKLEY,national-rail,,,,,,,,False,,False,,
910GBICKLEY-Plat02-SB-national-rail,910GBICKLEY,national-rail,,,,,,,,False,,False,,
910GBNHAM-Plat01-WB-elizabeth|national-rail,910GBNHAM,elizabeth,Reading,,,,,,,False,,True,,
910GBNHAM-Plat01-WB-elizabeth|national-rail,910GBNHAM,national-rail,,,,,,,,False,,True,,
910GBNHAM-Plat02-EB-elizabeth|national-rail,910GBNHAM,elizabeth,Paddington Station,,,,,,,False,,True,,
910GBNHAM-Plat02-EB-elizabeth|national-rail,910GBNHAM,national-rail,,,,,,,,False,,True,,
910GBRBYPK-Plat01-WB-london-overground,910GBRBYPK,mildmay,,,,,,,,False,,False,,
910GBRBYPK-Plat02-EB-london-overground,910GBRBYPK,mildmay,,,,,,,,False,,False,,
910GBRBY-Plat01-WB-london-overground,910GBRBY,mildmay,,,,,,,,False,,False,,
910GBRBY-Plat02-EB-london-overground,910GBRBY,mildmay,,,,,,,,False,,False,,
910GBRENTX-Plat01-SB-national-rail,910GBRENTX,national-rail,,,,,,,,False,,True,,
910GBRENTX-Plat02-NB-national-rail,910GBRENTX,national-rail,,,,,,,,False,,True,,
910GBRENTX-Plat03-SB-national-rail,910GBRENTX,national-rail,,,,,,,,False,,True,,
910GBRENTX-Plat04-NB-national-rail,910GBRENTX,national-rail,,,,,,,,False,,True,,
910GBROCKLY-Plat01-NB-london-overground|national-rail,910GBROCKLY,windrush,Dalston Junction and Highbury & Islington,,,,,,,False,,True,Step-free platform interchange requires a 500m journey via street,
910GBROCKLY-Plat01-NB-london-overground|national-rail,910GBROCKLY,national-rail,,,,,,,,False,,True,Step-free platform interchange requires a 500m journey via street,
910GBROCKLY-Plat02-SB-london-overground|national-rail,910GBROCKLY,windrush,Crystal Palace and West Croydon,,,,,,,False,,True,Step-free platform interchange requires a 500m journey via street,
910GBROCKLY-Plat02-SB-london-overground|national-rail,910GBROCKLY,national-rail,,,,,,,,False,,True,Step-free platform interchange requires a 500m journey via street,
910GBROMLYS-Plat01-NB-national-rail,910GBROMLYS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBROMLYS-Plat02-SB-national-rail,910GBROMLYS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBROMLYS-Plat03-NB-national-rail,910GBROMLYS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBROMLYS-Plat04-SB-national-rail,910GBROMLYS,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBRTWOOD-Plat01-WB-elizabeth,910GBRTWOOD,elizabeth,Stratford,,,,,,,False,,True,,
910GBRTWOOD-Plat02-EB-elizabeth,910GBRTWOOD,elizabeth,Shenfield,,,,,,,False,,True,,
910GBRTWOOD-Plat03-WB-elizabeth,910GBRTWOOD,elizabeth,Stratford,,,,,,,False,,True,,
910GBRTWOOD-Plat04-EB-elizabeth,910GBRTWOOD,elizabeth,Shenfield,,,,,,,False,,True,,
910GBRUCGRV-Plat01-SB-london-overground,910GBRUCGRV,weaver,,,,,,,,False,,False,,
910GBRUCGRV-Plat02-NB-london-overground,910GBRUCGRV,weaver,,,,,,,,False,,False,,
910GBTHNLGR-Plat01-WB-london-overground,910GBTHNLGR,weaver,,,,,,,,False,,False,,
910GBTHNLGR-Plat02-EB-london-overground,910GBTHNLGR,weaver,,,,,,,,False,,False,,
910GCAMHTH-Plat01-SB-london-overground,910GCAMHTH,weaver,,,,,,,,False,,False,,
910GCAMHTH-Plat02-NB-london-overground,910GCAMHTH,weaver,,,,,,,,False,,False,,
910GCATFORD-Plat01-NB-national-rail,910GCATFORD,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCATFORD-Plat02-SB-national-rail,910GCATFORD,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCFPK-Plat01-NB-national-rail,910GCFPK,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCFPK-Plat02-SB-national-rail,910GCFPK,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCHDWLHT-Plat01-WB-elizabeth,910GCHDWLHT,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GCHDWLHT-Plat02-EB-elizabeth,910GCHDWLHT,elizabeth,Shenfield,,,,,,,False,,True,,
910GCHDWLHT-Plat03-WB-elizabeth,910GCHDWLHT,elizabeth,Liverpool Street,,,,,,,False,,True,,
910GCHDWLHT-Plat04-EB-elizabeth,910GCHDWLHT,elizabeth,Shenfield,,,,,,,False,,True,,
910GCHESHNT-Plat01-SB-national-rail,910GCHESHNT,national-rail,,,,,,,,False,,True,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHESHNT-Plat02-NB-national-rail,910GCHESHNT,national-rail,,,,,,,,False,,True,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHESHNT-Plat03-SB-london-overground,910GCHESHNT,weaver,Edmonton Green,,,,,,,False,,True,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD,weaver,Liverpool Street,,,,,,,False,,True,,
910GCHINGFD-Plat02-SB-london-overground,910GCHINGFD,weaver,Liverpool Street,,,,,,,False,,True,,
910GCHINGFD-Plat03-SB-london-overground,910GCHINGFD,weaver,Liverpool Street,,,,,,,False,,True,,
910GCLAPTON-Plat01-SB-london-overground,910GCLAPTON,weaver,,,,,,,,False,,False,,
910GCLAPTON-Plat02-NB-london-overground,910GCLAPTON,weaver,,,,,,,,False,,False,,
910GCLDNNRB-Plat02-WB-london-overground,910GCLDNNRB,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GCLDNNRB-Plat03-EB-london-overground,910GCLDNNRB,mildmay,Stratford,,,,,,,False,,True,,
910GCLPHHS-Plat01-WB-london-overground,910GCLPHHS,windrush,,,,,,,,False,,False,,
910GCLPHHS-Plat02-EB-london-overground,910GCLPHHS,windrush,,,,,,,,False,,False,,
910GCMDNRD-Plat01-WB-london-overground,910GCMDNRD,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GCMDNRD-Plat02-EB-london-overground,910GCMDNRD,mildmay,Stratford,,,,,,,False,,True,,
910GCNNB-Plat01-NB-london-overground,910GCNNB,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,,False,,
910GCNNB-Plat02-SB-london-overground,910GCNNB,windrush,Crystal Palace and Clapham Junction via Canada Water,0.0,85.0,,0.0,50.0,,True,,False,,
