UniqueId,Name,FareZones,HubNaptanCode,Wifi,OutsideStationUniqueId,BlueBadgeCarParking,BlueBadgeCarParkSpaces,TaxiRanksOutsideStation,MainBusInterchange,PierInterchange,NationalRailInterchange,AirportInterchange,EmiratesAirLineInterchange
HUBABW,Abbey Wood,4,HUBABW,False,HUBABW-Outside,False,,False,,,,,
910GACTNCTL,Acton Central,3,,True,910GACTNCTL-Outside,False,,False,,,,,
910GACTONML,Acton Main Line,3,,False,910GACTONML-Outside,False,,False,,,,,
910GANERLEY,Anerley,4,,True,910GANERLEY-Outside,False,,False,,,,,
910GBCKNHMH,Beckenham Hill,4,,False,910GBCKNHMH-Outside,False,,False,,,,,
910GBELNGHM,Bellingham,3,,False,910GBELNGHM-Outside,False,,False,,,,,
910GBHILLPK,Bush Hill Park,5,,True,910GBHILLPK-Outside,True,2.0,False,,,,,
910GBICKLEY,Bickley,5,,False,910GBICKLEY-Outside,False,,False,,,,,
910GBNHAM,Burnham,Outside,,False,910GBNHAM-Outside,False,,False,,,,,
910GBRBY,Brondesbury,2,,True,910GBRBY-Outside,False,,False,,,,,
910GBRBYPK,Brondesbury Park,2,,False,910GBRBYPK-Outside,False,,False,,,,,
910GBRENTX,Brent Cross West Station,3,,False,910GBRENTX-Outside,False,,False,,,,,
910GBROCKLY,Brockley,2,,True,910GBROCKLY-Outside,False,,False,,,,,
910GBROMLYS,Bromley South,5,,False,910GBROMLYS-Outside,False,,False,,,,,
910GBRTWOOD,Brentwood,9,,True,910GBRTWOOD-Outside,True,17.0,False,,,,,
910GBRUCGRV,Bruce Grove,3,,True,910GBRUCGRV-Outside,False,,False,,,,,
910GBTHNLGR,Bethnal Green,2,,True,910GBTHNLGR-Outside,False,,False,,,,,
910GCAMHTH,Cambridge Heath,2,,False,910GCAMHTH-Outside,False,,False,,,,,
910GCATFORD,Catford,3,,False,910GCATFORD-Outside,False,,False,,,,,
910GCFPK,Crofton Park,3,,False,910GCFPK-Outside,False,,False,,,,,
910GCHDWLHT,Chadwell Heath,5,,False,910GCHDWLHT-Outside,False,,False,,,,,
910GCHESHNT,Cheshunt,8,,True,910GCHESHNT-Outside,True,5.0,False,,,Partial,,
910GCHINGFD,Chingford,5,,True,910GCHINGFD-Outside,True,3.0,False,,,,,
910GCLAPTON,Clapton,2|3,,True,910GCLAPTON-Outside,False,,False,,,,,
910GCLDNNRB,Caledonian Road & Barnsbury,2,,False,910GCLDNNRB-Outside,False,,False,,,,,
910GCLPHHS,Clapham High Street,2,,False,910GCLPHHS-Outside,False,,False,,,,,
910GCMDNRD,Camden Road,2,,True,910GCMDNRD-Outside,False,,False,,,,,
910GCNNB,Canonbury,2,,False,910GCNNB-Outside,False,,False,,,,,
910GCOLSDNS,Coulsdon South,6,,True,910GCOLSDNS-Outside,False,,False,,,,,
